match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,2,5,DA Warner,S Dhawan,A Choudhary,0,0,0,0,0,0,0,0,0,DA Warner,caught,Mandeep Singh
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,11,3,S Dhawan,MC Henriques,STR Binny,0,0,0,0,0,0,0,0,0,S Dhawan,caught,Sachin Baby
1,1,Sunrisers Hyderabad,Royal Challengers Bangalore,16,2,MC Henriques,Yuvraj Singh,YS Chahal,0,0,0,0,0,0,0,0,0,MC Henriques,caught,Sachin Baby
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,7,3,CH Gayle,TM Head,DJ Hooda,0,0,0,0,0,0,0,0,0,CH Gayle,caught,DA Warner
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,12,4,KM Jadhav,TM Head,MC Henriques,0,0,0,0,0,0,1,0,1,KM Jadhav,run out,BCJ Cutting
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,13,5,TM Head,SR Watson,Rashid Khan,0,0,0,0,0,0,0,0,0,TM Head,caught,Yuvraj Singh
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,14,4,Sachin Baby,SR Watson,Bipul Sharma,0,0,0,0,0,0,0,0,0,Sachin Baby,caught,MC Henriques
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,17,5,STR Binny,SR Watson,B Kumar,0,0,0,0,0,0,0,0,0,STR Binny,caught,Yuvraj Singh
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,18,3,SR Watson,S Aravind,A Nehra,0,0,0,0,0,0,0,0,0,SR Watson,caught,MC Henriques
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,19,5,TS Mills,YS Chahal,B Kumar,0,0,0,0,0,0,0,0,0,TS Mills,caught,DA Warner
1,2,Royal Challengers Bangalore,Sunrisers Hyderabad,20,4,A Choudhary,YS Chahal,BCJ Cutting,0,0,0,0,0,0,0,0,0,YS Chahal,run out,CJ Jordan (sub)
